year,reporter,partner,co2_tonnes
2018,KOR,USA,541627.9160931417
2018,KOR,VNM,88406.61149699937
2018,MEX,CAN,30507.54200674499
2018,MEX,CHN,665007.1145219624
2018,MEX,DEU,116110.36450694091
2018,MEX,JPN,111630.16759446393
2018,MEX,KOR,104761.89475173081
2018,MEX,MYS,88449.54659230723
2018,MEX,THA,85767.8582994626
2018,MEX,USA,468647.1485603628
2018,MEX,VNM,24477.817487466866
2018,MYS,CAN,5949.967335370681
2018,MYS,CHN,122504.1824497042
2018,MYS,DEU,72095.69439545737
2018,MYS,JPN,54409.153769778306
2018,MYS,KOR,23685.09069009992
2018,MYS,MEX,22852.466366568697
2018,MYS,THA,13513.458511943067
2018,MYS,USA,276203.5110339786
2018,MYS,VNM,3644.7153671301503
2018,THA,CAN,8208.385591271499
2018,THA,CHN,93250.20121582643
2018,THA,DEU,55244.555005763585
2018,THA,JPN,113640.57423659865
2018,THA,KOR,14815.94075995331
2018,THA,MEX,26061.511905471267
2018,THA,MYS,12503.32265600109
2018,THA,USA,273742.56928492925
2018,THA,VNM,3653.564885151499
2018,USA,CAN,252341.06763767256
2018,USA,CHN,3460387.2121624956
2018,USA,DEU,637937.1205417837
2018,USA,JPN,766779.8746359476
2018,USA,KOR,513591.76963373716
2018,USA,MEX,546610.156159719
2018,USA,MYS,371018.5189350998
2018,USA,THA,298436.28588824155
2018,USA,VNM,169308.9192641608
2018,VNM,CAN,10034.692073395057
2018,VNM,CHN,105509.67555078663
2018,VNM,DEU,43886.4957357342
2018,VNM,JPN,52458.553080264785
2018,VNM,KOR,83052.28536169865
2018,VNM,MEX,12266.513221044224
2018,VNM,MYS,3229.5369715848583
2018,VNM,THA,3737.280481493336
2018,VNM,USA,163265.04279884783
2019,CAN,CHN,260109.26644577077
2019,CAN,DEU,65379.90141358458
2019,CAN,JPN,49887.4566697214
2019,CAN,KOR,19588.89352679554
2019,CAN,MEX,46913.57495198097
2019,CAN,MYS,14283.133617593285
2019,CAN,THA,19036.754432835027
2019,CAN,USA,210665.35443252703
2019,CAN,VNM,18130.515500699476
2019,CHN,CAN,130470.2708548704
2019,CHN,DEU,777512.7180360388
2019,CHN,JPN,264093.8709960565
2019,CHN,KOR,99258.89900623048
2019,CHN,MEX,339977.00854247255
2019,CHN,MYS,178506.20496614705
2019,CHN,THA,129303.39987323526
2019,CHN,USA,2665005.2424783194
2019,CHN,VNM,162183.15313610426
2019,DEU,CAN,58638.10232851139
2019,DEU,CHN,1028854.3842754182
2019,DEU,JPN,194278.75422904544
2019,DEU,KOR,123017.40587755025
2019,DEU,MEX,94710.17794708352
2019,DEU,MYS,90770.59927407104
2019,DEU,THA,61948.09531676577
2019,DEU,USA,851256.2892717492
2019,DEU,VNM,50921.7260802532
2019,JPN,CAN,23676.32213282029
2019,JPN,CHN,259261.85409810353
2019,JPN,DEU,143531.66109789812
2019,JPN,KOR,25975.86677448002
2019,JPN,MEX,71583.77776202711
2019,JPN,MYS,45684.196351807506
2019,JPN,THA,111292.16358974102
2019,JPN,USA,790313.9565397104
2019,JPN,VNM,53452.987202122305
2019,KOR,CAN,15917.800002996984
2019,KOR,CHN,87051.93933939197
2019,KOR,DEU,97346.87500750083
2019,KOR,JPN,27007.211317826368
2019,KOR,MEX,65394.77432570605
2019,KOR,MYS,23014.106058040496
2019,KOR,THA,15589.96181936558
2019,KOR,USA,489708.2300912144
2019,KOR,VNM,94023.50396406415
2019,MEX,CAN,36730.450635235255
2019,MEX,CHN,654328.0712440822
2019,MEX,DEU,106950.9181827363
2019,MEX,JPN,108176.55592982058
2019,MEX,KOR,119083.6598601632
2019,MEX,MYS,108390.84471744539
2019,MEX,THA,76554.8450105455
2019,MEX,USA,481534.04328171356
2019,MEX,VNM,35616.532690609114
2019,MYS,CAN,4929.086330021454
2019,MYS,CHN,111574.55156841184
2019,MYS,DEU,65368.63248889686
2019,MYS,JPN,52203.2383700281
2019,MYS,KOR,22271.92883405424
2019,MYS,MEX,22721.508279436668
2019,MYS,THA,10984.295115329325
2019,MYS,USA,259612.4650051268
2019,MYS,VNM,3934.7332565370875
2019,THA,CAN,10230.578543722157
2019,THA,CHN,92644.91131630653
2019,THA,DEU,51087.910319181785
2019,THA,JPN,111213.52245305809
2019,THA,KOR,14821.704607773772
2019,THA,MEX,31570.140613767042
2019,THA,MYS,9451.488561787586
2019,THA,USA,282006.2257888955
2019,THA,VNM,3587.069985771543
2019,USA,CAN,248923.00618922536
2019,USA,CHN,2820828.729236567
2019,USA,DEU,628386.964172549
2019,USA,JPN,771532.9865641065
2019,USA,KOR,486714.2337492097
2019,USA,MEX,548211.7456594899
2019,USA,MYS,371073.1073326473
2019,USA,THA,305277.8170977252
2019,USA,VNM,267622.0152503584
2019,VNM,CAN,14266.078894435024
2019,VNM,CHN,123044.88880884739
2019,VNM,DEU,39284.55855929185
2019,VNM,JPN,54420.72232152987
2019,VNM,KOR,88283.22473787765
2019,VNM,MEX,18465.956388509763
2019,VNM,MYS,3158.268460964124
2019,VNM,THA,3689.108815396188
2019,VNM,USA,246446.8686804247
2020,CAN,CHN,262482.5614857453
2020,CAN,DEU,57123.640915930584
2020,CAN,JPN,39584.041213797296
2020,CAN,KOR,17210.085279714334
2020,CAN,MEX,39702.13448182503
2020,CAN,MYS,14436.126272060763
2020,CAN,THA,18003.722891681522
2020,CAN,USA,177577.3218161719
2020,CAN,VNM,25346.78955279165
2020,CHN,CAN,139783.51590222726
2020,CHN,DEU,783138.4408848236
2020,CHN,JPN,268200.6183429037
2020,CHN,KOR,102561.25887298596
2020,CHN,MEX,339760.3548160471
2020,CHN,MYS,187270.69201758958
2020,CHN,THA,139464.2154893325
2020,CHN,USA,2851633.2018876476
2020,CHN,VNM,205003.01340872786
2020,DEU,CAN,47366.93047052577
2020,DEU,CHN,1086074.3704853617
2020,DEU,JPN,171089.83576921513
2020,DEU,KOR,121338.79166645213
2020,DEU,MEX,82913.0635808829
2020,DEU,MYS,83856.85642040047
2020,DEU,THA,58242.14770246288
2020,DEU,USA,711970.6176588283
2020,DEU,VNM,55844.89826662324
2020,JPN,CAN,18968.676426268157
2020,JPN,CHN,265763.38996315456
2020,JPN,DEU,122721.22874703228
2020,JPN,KOR,27723.06770633062
2020,JPN,MEX,58091.89243517272
2020,JPN,MYS,42955.32007058198
2020,JPN,THA,96639.22046485865
2020,JPN,USA,655841.3599276757
2020,JPN,VNM,54300.85184330151
2020,KOR,CAN,13278.293438502973
2020,KOR,CHN,86899.81913638787
2020,KOR,DEU,97110.4113202972
2020,KOR,JPN,28387.331453105922
2020,KOR,MEX,59193.684898068546
2020,KOR,MYS,22366.496663800746
2020,KOR,THA,14646.76031855364
2020,KOR,USA,537032.884310631
2020,KOR,VNM,101785.34231232665
2020,MEX,CAN,27289.934417617707
2020,MEX,CHN,574403.7059815979
2020,MEX,DEU,86977.77828284238
2020,MEX,JPN,82937.48685663388
2020,MEX,KOR,128619.29068019106
2020,MEX,MYS,103929.37501366707
2020,MEX,THA,74186.64544908192
2020,MEX,USA,437617.66906545096
2020,MEX,VNM,42653.96575150959
2020,MYS,CAN,4143.582948399797
2020,MYS,CHN,113404.28657006232
2020,MYS,DEU,59934.178078666635
2020,MYS,JPN,51706.42419311909
2020,MYS,KOR,22426.845380738116
2020,MYS,MEX,21001.40548379309
2020,MYS,THA,7638.535881531273
2020,MYS,USA,281631.5288429494
2020,MYS,VNM,3886.245626103632
2020,THA,CAN,9784.140511222631
2020,THA,CHN,97897.01372902478
2020,THA,DEU,45093.37451403214
2020,THA,JPN,95187.56915132819
2020,THA,KOR,13352.575759106494
2020,THA,MEX,26824.539276276155
2020,THA,MYS,7328.386891191718
2020,THA,USA,318523.75188350363
2020,THA,VNM,3374.980280959194
2020,USA,CAN,215378.4802450033
2020,USA,CHN,2884013.3733552243
2020,USA,DEU,558356.4708094329
2020,USA,JPN,648037.530412835
2020,USA,KOR,538393.3941322252
2020,USA,MEX,485746.3734960781
2020,USA,MYS,406119.6348534844
2020,USA,THA,362875.2972053775
2020,USA,VNM,387312.221094743
2020,VNM,CAN,17410.735539397545
2020,VNM,CHN,146535.24349562224
2020,VNM,DEU,36027.86712292982
2020,VNM,JPN,55206.403401339056
2020,VNM,KOR,95334.66366914348
2020,VNM,MEX,24171.739674671764
2020,VNM,MYS,3045.156436668004
2020,VNM,THA,3394.0423265178215
2020,VNM,USA,383856.8479228193
2021,CAN,CHN,316947.95193381695
2021,CAN,DEU,63458.07327439354
2021,CAN,JPN,50825.98532458197
2021,CAN,KOR,22841.988942908836
2021,CAN,MEX,45866.50447465569
2021,CAN,MYS,18069.533483309697
2021,CAN,THA,25319.147607820338
2021,CAN,USA,198144.11643038807
2021,CAN,VNM,31835.81356038999
2021,CHN,CAN,174924.99066534053
2021,CHN,DEU,978527.9318714755
2021,CHN,JPN,310278.4956942457
2021,CHN,KOR,124454.00228466625
2021,CHN,MEX,445317.2023431449
2021,CHN,MYS,237992.36901068676
2021,CHN,THA,176639.41283239351
2021,CHN,USA,3373694.894413725
2021,CHN,VNM,247739.02119974198
2021,DEU,CAN,47452.87244424868
2021,DEU,CHN,1345219.0113351273
2021,DEU,JPN,191475.05680265062
2021,DEU,KOR,124056.26304790785
2021,DEU,MEX,94603.26071425901
2021,DEU,MYS,92703.83603841
2021,DEU,THA,70563.15934458285
2021,DEU,USA,813806.1105013415
2021,DEU,VNM,59536.3046208512
2021,JPN,CAN,23429.685561584563
2021,JPN,CHN,302603.4874591974
2021,JPN,DEU,138836.91339760815
2021,JPN,KOR,30438.01434230269
2021,JPN,MEX,67239.9101611187
2021,JPN,MYS,52472.40053729416
2021,JPN,THA,109088.15645496189
2021,JPN,USA,775748.3246868871
2021,JPN,VNM,57274.61011114008
2021,KOR,CAN,16894.976106715432
2021,KOR,CHN,101622.84464846787
2021,KOR,DEU,110962.37026604527
2021,KOR,JPN,31777.632378194165
2021,KOR,MEX,69163.7904970087
2021,KOR,MYS,28877.710683040004
2021,KOR,THA,17916.2789021845
2021,KOR,USA,669342.1153984553
2021,KOR,VNM,117405.22375394538
2021,MEX,CAN,29962.7190338917
2021,MEX,CHN,721764.4916978244
2021,MEX,DEU,99491.74481940652
2021,MEX,JPN,100763.14936857291
2021,MEX,KOR,158322.44057906084
2021,MEX,MYS,117578.54881728956
2021,MEX,THA,84000.9873876726
2021,MEX,USA,504831.79051798483
2021,MEX,VNM,58767.27835377933
2021,MYS,CAN,6156.363639120573
2021,MYS,CHN,146499.25061301654
2021,MYS,DEU,65762.3776164257
2021,MYS,JPN,56806.86599372217
2021,MYS,KOR,26151.788126558888
2021,MYS,MEX,26512.353168410486
